#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.5', investigation_time=50.0"
custom_site_id,lon,lat,0.400000~PGA,0.400000~SA(0.02),0.400000~SA(0.05),0.400000~SA(0.075),0.400000~SA(0.1),0.400000~SA(0.15),0.400000~SA(0.2),0.400000~SA(0.25),0.400000~SA(0.3),0.400000~SA(0.4),0.400000~SA(0.5),0.400000~SA(0.75),0.400000~SA(1.0),0.400000~SA(1.5),0.400000~SA(2.0),0.400000~SA(3.0),0.400000~SA(4.0),0.400000~SA(5.0),0.400000~SA(7.5),0.400000~SA(10.0),0.100000~PGA,0.100000~SA(0.02),0.100000~SA(0.05),0.100000~SA(0.075),0.100000~SA(0.1),0.100000~SA(0.15),0.100000~SA(0.2),0.100000~SA(0.25),0.100000~SA(0.3),0.100000~SA(0.4),0.100000~SA(0.5),0.100000~SA(0.75),0.100000~SA(1.0),0.100000~SA(1.5),0.100000~SA(2.0),0.100000~SA(3.0),0.100000~SA(4.0),0.100000~SA(5.0),0.100000~SA(7.5),0.100000~SA(10.0),0.050000~PGA,0.050000~SA(0.02),0.050000~SA(0.05),0.050000~SA(0.075),0.050000~SA(0.1),0.050000~SA(0.15),0.050000~SA(0.2),0.050000~SA(0.25),0.050000~SA(0.3),0.050000~SA(0.4),0.050000~SA(0.5),0.050000~SA(0.75),0.050000~SA(1.0),0.050000~SA(1.5),0.050000~SA(2.0),0.050000~SA(3.0),0.050000~SA(4.0),0.050000~SA(5.0),0.050000~SA(7.5),0.050000~SA(10.0),0.020000~PGA,0.020000~SA(0.02),0.020000~SA(0.05),0.020000~SA(0.075),0.020000~SA(0.1),0.020000~SA(0.15),0.020000~SA(0.2),0.020000~SA(0.25),0.020000~SA(0.3),0.020000~SA(0.4),0.020000~SA(0.5),0.020000~SA(0.75),0.020000~SA(1.0),0.020000~SA(1.5),0.020000~SA(2.0),0.020000~SA(3.0),0.020000~SA(4.0),0.020000~SA(5.0),0.020000~SA(7.5),0.020000~SA(10.0),0.010000~PGA,0.010000~SA(0.02),0.010000~SA(0.05),0.010000~SA(0.075),0.010000~SA(0.1),0.010000~SA(0.15),0.010000~SA(0.2),0.010000~SA(0.25),0.010000~SA(0.3),0.010000~SA(0.4),0.010000~SA(0.5),0.010000~SA(0.75),0.010000~SA(1.0),0.010000~SA(1.5),0.010000~SA(2.0),0.010000~SA(3.0),0.010000~SA(4.0),0.010000~SA(5.0),0.010000~SA(7.5),0.010000~SA(10.0),0.005000~PGA,0.005000~SA(0.02),0.005000~SA(0.05),0.005000~SA(0.075),0.005000~SA(0.1),0.005000~SA(0.15),0.005000~SA(0.2),0.005000~SA(0.25),0.005000~SA(0.3),0.005000~SA(0.4),0.005000~SA(0.5),0.005000~SA(0.75),0.005000~SA(1.0),0.005000~SA(1.5),0.005000~SA(2.0),0.005000~SA(3.0),0.005000~SA(4.0),0.005000~SA(5.0),0.005000~SA(7.5),0.005000~SA(10.0)
1001,-79.80780,-6.84650,1.883852E-01,2.011747E-01,3.113644E-01,4.059805E-01,4.615920E-01,4.838647E-01,4.557531E-01,4.154135E-01,3.626365E-01,2.652253E-01,2.087125E-01,1.254062E-01,8.514563E-02,4.895220E-02,3.271548E-02,1.706815E-02,1.077070E-02,7.698395E-03,4.045500E-03,2.699160E-03,3.638629E-01,3.856507E-01,6.119754E-01,7.927179E-01,9.033449E-01,9.705019E-01,9.047490E-01,7.975086E-01,6.815156E-01,5.051835E-01,4.019271E-01,2.448807E-01,1.680264E-01,9.723631E-02,6.534921E-02,3.447199E-02,2.217797E-02,1.582592E-02,8.884249E-03,5.954781E-03,4.797363E-01,5.095784E-01,8.155222E-01,1.039506E+00,1.187855E+00,1.283869E+00,1.201619E+00,1.050997E+00,8.821085E-01,6.692857E-01,5.303731E-01,3.222902E-01,2.219380E-01,1.278955E-01,8.481587E-02,4.498914E-02,2.894340E-02,2.075808E-02,1.185731E-02,7.995154E-03,6.646459E-01,7.048281E-01,1.126650E+00,1.442880E+00,1.652581E+00,1.790731E+00,1.673435E+00,1.462401E+00,1.192584E+00,9.242191E-01,7.405471E-01,4.493907E-01,3.093788E-01,1.773340E-01,1.162852E-01,6.228396E-02,3.941509E-02,2.853125E-02,1.653730E-02,1.119343E-02,8.346562E-01,8.819290E-01,1.383961E+00,1.807155E+00,2.074006E+00,2.253832E+00,2.075643E+00,1.841471E+00,1.471704E+00,1.162749E+00,9.318481E-01,5.647246E-01,3.867325E-01,2.210901E-01,1.446458E-01,7.781329E-02,4.879317E-02,3.481346E-02,2.054963E-02,1.397815E-02,1.029112E+00,1.086927E+00,1.667565E+00,2.196603E+00,2.550248E+00,2.779836E+00,2.552177E+00,2.277576E+00,1.797402E+00,1.441154E+00,1.145444E+00,6.969371E-01,4.738440E-01,2.697141E-01,1.765778E-01,9.500461E-02,5.804279E-02,4.166972E-02,2.492206E-02,1.699289E-02
1002,-79.55450,-6.76220,1.725513E-01,1.815804E-01,2.750449E-01,3.587980E-01,4.079815E-01,4.302348E-01,4.054693E-01,3.632211E-01,3.168384E-01,2.389495E-01,1.907770E-01,1.157755E-01,7.971187E-02,4.628900E-02,3.082841E-02,1.598085E-02,1.001593E-02,7.140336E-03,3.789701E-03,2.453164E-03,3.235733E-01,3.433647E-01,5.279851E-01,6.757243E-01,7.719661E-01,8.256083E-01,7.704884E-01,6.799296E-01,5.880959E-01,4.473913E-01,3.599823E-01,2.231198E-01,1.555050E-01,9.090972E-02,5.986569E-02,3.164843E-02,2.010865E-02,1.416330E-02,7.892762E-03,5.240541E-03,4.178206E-01,4.429371E-01,6.772721E-01,8.664180E-01,9.855186E-01,1.068738E+00,1.003762E+00,8.872562E-01,7.614629E-01,5.814375E-01,4.690098E-01,2.909397E-01,2.038030E-01,1.180651E-01,7.787909E-02,4.147042E-02,2.601054E-02,1.844292E-02,1.038385E-02,6.949283E-03,5.750551E-01,6.035219E-01,9.108860E-01,1.165216E+00,1.341928E+00,1.467646E+00,1.377728E+00,1.234081E+00,1.034722E+00,8.056111E-01,6.452921E-01,4.001544E-01,2.805289E-01,1.598336E-01,1.063397E-01,5.615515E-02,3.508309E-02,2.510031E-02,1.422257E-02,9.579965E-03,7.023687E-01,7.492179E-01,1.117584E+00,1.429351E+00,1.651544E+00,1.830551E+00,1.698461E+00,1.530753E+00,1.279359E+00,1.008120E+00,7.993142E-01,4.983925E-01,3.498114E-01,1.964266E-01,1.313584E-01,6.846095E-02,4.279440E-02,3.096734E-02,1.759047E-02,1.184764E-02,8.551185E-01,9.188904E-01,1.363436E+00,1.736128E+00,1.995096E+00,2.210386E+00,2.067892E+00,1.850031E+00,1.564143E+00,1.237482E+00,9.687687E-01,6.099998E-01,4.279242E-01,2.363560E-01,1.577195E-01,8.212528E-02,5.158969E-02,3.749195E-02,2.141458E-02,1.435399E-02
1003,-79.31730,-6.63600,1.579940E-01,1.659708E-01,2.454228E-01,3.215325E-01,3.662144E-01,3.901631E-01,3.672066E-01,3.348557E-01,2.880573E-01,2.205299E-01,1.764950E-01,1.096343E-01,7.598537E-02,4.434993E-02,2.927128E-02,1.521302E-02,9.514902E-03,6.715567E-03,3.539542E-03,2.319743E-03,2.927448E-01,3.066108E-01,4.713319E-01,6.370862E-01,7.120243E-01,7.418341E-01,6.860602E-01,6.158256E-01,5.308769E-01,4.112810E-01,3.327233E-01,2.129647E-01,1.499258E-01,8.721370E-02,5.616736E-02,3.018235E-02,1.859828E-02,1.319821E-02,7.193250E-03,4.706913E-03,3.749027E-01,3.965590E-01,6.200954E-01,8.281656E-01,9.044343E-01,9.443209E-01,8.842536E-01,7.928565E-01,6.788620E-01,5.304456E-01,4.305379E-01,2.781270E-01,1.971422E-01,1.127440E-01,7.299094E-02,3.892985E-02,2.412324E-02,1.717200E-02,9.375558E-03,6.162112E-03,4.948752E-01,5.259611E-01,8.297454E-01,1.074384E+00,1.180133E+00,1.253951E+00,1.199859E+00,1.078121E+00,9.080077E-01,7.190084E-01,5.869945E-01,3.780675E-01,2.700505E-01,1.523523E-01,9.871403E-02,5.255299E-02,3.266414E-02,2.328988E-02,1.278298E-02,8.452106E-03,6.053380E-01,6.387593E-01,9.927080E-01,1.268339E+00,1.426976E+00,1.553793E+00,1.487454E+00,1.333743E+00,1.112490E+00,8.875275E-01,7.229651E-01,4.684577E-01,3.341784E-01,1.866056E-01,1.205018E-01,6.454595E-02,4.001288E-02,2.864237E-02,1.568924E-02,1.032961E-02,7.317662E-01,7.731562E-01,1.189480E+00,1.514418E+00,1.721228E+00,1.900765E+00,1.821154E+00,1.621466E+00,1.339194E+00,1.077246E+00,8.799900E-01,5.619777E-01,4.019867E-01,2.238595E-01,1.447871E-01,7.762830E-02,4.817772E-02,3.440897E-02,1.881865E-02,1.240896E-02
1004,-79.68600,-6.62060,1.868716E-01,1.969223E-01,2.977423E-01,3.914099E-01,4.438738E-01,4.670427E-01,4.334702E-01,3.911369E-01,3.420328E-01,2.546482E-01,2.016127E-01,1.216633E-01,8.374865E-02,4.775903E-02,3.183645E-02,1.643021E-02,1.041074E-02,7.345408E-03,3.898269E-03,2.519757E-03,3.544882E-01,3.728661E-01,5.782272E-01,7.646742E-01,8.461857E-01,8.915758E-01,8.349003E-01,7.337993E-01,6.300496E-01,4.753785E-01,3.806528E-01,2.353054E-01,1.632807E-01,9.443939E-02,6.277333E-02,3.294722E-02,2.085892E-02,1.490921E-02,8.175595E-03,5.498382E-03,4.564602E-01,4.829908E-01,7.520517E-01,9.844979E-01,1.087389E+00,1.160632E+00,1.074264E+00,9.549719E-01,8.150588E-01,6.174783E-01,4.951376E-01,3.081153E-01,2.137551E-01,1.236961E-01,8.179698E-02,4.314897E-02,2.719130E-02,1.951232E-02,1.085718E-02,7.232258E-03,6.120583E-01,6.533511E-01,1.025124E+00,1.311328E+00,1.454888E+00,1.579646E+00,1.460017E+00,1.311909E+00,1.105277E+00,8.454394E-01,6.776476E-01,4.230233E-01,2.953622E-01,1.692340E-01,1.115569E-01,5.909291E-02,3.707804E-02,2.645835E-02,1.502535E-02,1.006549E-02,7.519810E-01,8.030853E-01,1.240008E+00,1.601986E+00,1.778721E+00,1.940568E+00,1.816754E+00,1.633193E+00,1.366495E+00,1.049392E+00,8.439379E-01,5.270725E-01,3.696319E-01,2.086567E-01,1.376023E-01,7.304581E-02,4.551697E-02,3.260846E-02,1.855034E-02,1.253082E-02,9.164045E-01,9.729639E-01,1.499347E+00,1.912929E+00,2.171778E+00,2.374493E+00,2.220798E+00,1.968200E+00,1.666631E+00,1.290136E+00,1.029247E+00,6.451521E-01,4.522881E-01,2.539434E-01,1.670046E-01,8.866663E-02,5.507362E-02,3.950840E-02,2.250065E-02,1.518392E-02
