#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.84', investigation_time=50.0, imt='SA(1.0)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012370,poe-0.0015301,poe-0.0018927,poe-0.0023412,poe-0.0028960,poe-0.0035823,poe-0.0044312,poe-0.0054813,poe-0.0067802,poe-0.0083870,poe-0.0103745,poe-0.0128329,poe-0.0158740,poe-0.0196357,poe-0.0242889,poe-0.0300447,poe-0.0371645,poe-0.0459716,poe-0.0568656,poe-0.0703413,poe-0.0870103,poe-0.1076295,poe-0.1331349,poe-0.1646843,poe-0.2037102,poe-0.2519842,poe-0.3116979,poe-0.3855621,poe-0.4769302,poe-0.5899502,poe-0.7297530,poe-0.9026854,poe-1.1165982,poe-1.3812027,poe-1.7085116,poe-2.1133842,poe-2.6142009,poe-3.2336982,poe-4.0000000
1001,-79.80780,-6.84650,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999824E-01,9.994010E-01,9.931682E-01,9.668922E-01,8.985243E-01,7.861872E-01,6.439526E-01,4.933573E-01,3.577250E-01,2.439126E-01,1.616119E-01,1.017509E-01,6.293271E-02,3.757425E-02,2.123784E-02,1.145600E-02,5.178148E-03,2.092432E-03,7.150685E-04,2.156660E-04,5.668402E-05,7.987022E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999992E-01,9.999232E-01,9.985349E-01,9.893762E-01,9.547228E-01,8.757219E-01,7.528315E-01,6.020939E-01,4.495828E-01,3.196493E-01,2.159156E-01,1.388384E-01,8.584341E-02,5.064758E-02,2.811150E-02,1.376198E-02,6.195950E-03,2.637518E-03,1.027351E-03,3.534437E-04,9.924085E-05,1.929479E-05,2.145766E-06,1.788139E-07,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999978E-01,9.998780E-01,9.980170E-01,9.868477E-01,9.462312E-01,8.518432E-01,7.158819E-01,5.600466E-01,4.096352E-01,2.846313E-01,1.904685E-01,1.203781E-01,7.293862E-02,4.191782E-02,2.231887E-02,1.105990E-02,5.057075E-03,2.139966E-03,7.994037E-04,2.714058E-04,8.141853E-05,1.940837E-05,4.172325E-06,5.960464E-07,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999575E-01,9.989132E-01,9.912652E-01,9.624739E-01,8.907021E-01,7.765049E-01,6.299133E-01,4.753628E-01,3.391083E-01,2.342344E-01,1.509782E-01,9.455208E-02,5.591126E-02,3.165553E-02,1.693104E-02,8.015980E-03,3.527340E-03,1.436249E-03,5.412666E-04,1.823228E-04,5.775625E-05,1.409223E-05,2.980232E-06,3.576279E-07,0.000000E+00,0.000000E+00
