#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.16', investigation_time=50.0"
custom_site_id,lon,lat,0.400000~PGA,0.400000~SA(0.02),0.400000~SA(0.05),0.400000~SA(0.075),0.400000~SA(0.1),0.400000~SA(0.15),0.400000~SA(0.2),0.400000~SA(0.25),0.400000~SA(0.3),0.400000~SA(0.4),0.400000~SA(0.5),0.400000~SA(0.75),0.400000~SA(1.0),0.400000~SA(1.5),0.400000~SA(2.0),0.400000~SA(3.0),0.400000~SA(4.0),0.400000~SA(5.0),0.400000~SA(7.5),0.400000~SA(10.0),0.100000~PGA,0.100000~SA(0.02),0.100000~SA(0.05),0.100000~SA(0.075),0.100000~SA(0.1),0.100000~SA(0.15),0.100000~SA(0.2),0.100000~SA(0.25),0.100000~SA(0.3),0.100000~SA(0.4),0.100000~SA(0.5),0.100000~SA(0.75),0.100000~SA(1.0),0.100000~SA(1.5),0.100000~SA(2.0),0.100000~SA(3.0),0.100000~SA(4.0),0.100000~SA(5.0),0.100000~SA(7.5),0.100000~SA(10.0),0.050000~PGA,0.050000~SA(0.02),0.050000~SA(0.05),0.050000~SA(0.075),0.050000~SA(0.1),0.050000~SA(0.15),0.050000~SA(0.2),0.050000~SA(0.25),0.050000~SA(0.3),0.050000~SA(0.4),0.050000~SA(0.5),0.050000~SA(0.75),0.050000~SA(1.0),0.050000~SA(1.5),0.050000~SA(2.0),0.050000~SA(3.0),0.050000~SA(4.0),0.050000~SA(5.0),0.050000~SA(7.5),0.050000~SA(10.0),0.020000~PGA,0.020000~SA(0.02),0.020000~SA(0.05),0.020000~SA(0.075),0.020000~SA(0.1),0.020000~SA(0.15),0.020000~SA(0.2),0.020000~SA(0.25),0.020000~SA(0.3),0.020000~SA(0.4),0.020000~SA(0.5),0.020000~SA(0.75),0.020000~SA(1.0),0.020000~SA(1.5),0.020000~SA(2.0),0.020000~SA(3.0),0.020000~SA(4.0),0.020000~SA(5.0),0.020000~SA(7.5),0.020000~SA(10.0),0.010000~PGA,0.010000~SA(0.02),0.010000~SA(0.05),0.010000~SA(0.075),0.010000~SA(0.1),0.010000~SA(0.15),0.010000~SA(0.2),0.010000~SA(0.25),0.010000~SA(0.3),0.010000~SA(0.4),0.010000~SA(0.5),0.010000~SA(0.75),0.010000~SA(1.0),0.010000~SA(1.5),0.010000~SA(2.0),0.010000~SA(3.0),0.010000~SA(4.0),0.010000~SA(5.0),0.010000~SA(7.5),0.010000~SA(10.0),0.005000~PGA,0.005000~SA(0.02),0.005000~SA(0.05),0.005000~SA(0.075),0.005000~SA(0.1),0.005000~SA(0.15),0.005000~SA(0.2),0.005000~SA(0.25),0.005000~SA(0.3),0.005000~SA(0.4),0.005000~SA(0.5),0.005000~SA(0.75),0.005000~SA(1.0),0.005000~SA(1.5),0.005000~SA(2.0),0.005000~SA(3.0),0.005000~SA(4.0),0.005000~SA(5.0),0.005000~SA(7.5),0.005000~SA(10.0)
1001,-79.80780,-6.84650,1.731835E-01,1.795014E-01,2.794909E-01,3.603850E-01,4.123295E-01,4.336206E-01,4.020306E-01,3.556276E-01,3.073182E-01,2.328585E-01,1.839271E-01,1.156164E-01,7.949284E-02,4.693050E-02,2.974354E-02,1.503867E-02,8.964618E-03,6.062095E-03,3.016409E-03,1.875240E-03,3.239674E-01,3.397540E-01,5.199503E-01,6.689711E-01,7.607365E-01,8.126439E-01,7.566058E-01,6.735581E-01,5.912804E-01,4.548972E-01,3.542259E-01,2.266836E-01,1.558533E-01,9.037291E-02,5.792388E-02,2.974692E-02,1.769554E-02,1.203873E-02,5.887838E-03,3.637447E-03,4.263162E-01,4.477873E-01,6.727130E-01,8.647391E-01,9.837865E-01,1.052634E+00,9.814153E-01,8.653947E-01,7.700341E-01,6.034594E-01,4.589911E-01,2.936482E-01,2.006536E-01,1.167261E-01,7.442206E-02,3.911774E-02,2.289436E-02,1.577587E-02,7.669907E-03,4.654379E-03,5.908142E-01,6.266024E-01,9.145040E-01,1.167248E+00,1.333055E+00,1.433732E+00,1.338319E+00,1.163572E+00,1.037100E+00,8.301495E-01,6.254051E-01,3.978454E-01,2.698111E-01,1.570159E-01,9.941225E-02,5.301355E-02,3.097211E-02,2.168898E-02,1.039195E-02,6.323129E-03,7.239292E-01,7.762402E-01,1.130554E+00,1.441890E+00,1.650220E+00,1.778790E+00,1.661595E+00,1.435938E+00,1.272592E+00,1.019635E+00,7.729800E-01,4.872351E-01,3.314089E-01,1.910822E-01,1.209609E-01,6.502829E-02,3.831384E-02,2.680236E-02,1.288505E-02,7.820172E-03,8.721350E-01,9.364188E-01,1.378138E+00,1.758022E+00,2.015981E+00,2.174208E+00,2.033043E+00,1.751117E+00,1.536087E+00,1.230281E+00,9.383134E-01,5.849457E-01,3.963955E-01,2.281514E-01,1.446566E-01,7.795759E-02,4.657673E-02,3.216285E-02,1.560478E-02,9.430397E-03
1002,-79.55450,-6.76220,1.602584E-01,1.669427E-01,2.503670E-01,3.236072E-01,3.673944E-01,3.914626E-01,3.654774E-01,3.274422E-01,2.874809E-01,2.210363E-01,1.703270E-01,1.075347E-01,7.485229E-02,4.386471E-02,2.770605E-02,1.452184E-02,8.676568E-03,5.840598E-03,2.935352E-03,1.802597E-03,2.966090E-01,3.167721E-01,4.610236E-01,5.954833E-01,6.775164E-01,7.272968E-01,6.818898E-01,6.119766E-01,5.390310E-01,4.154569E-01,3.211707E-01,2.051692E-01,1.423792E-01,8.369908E-02,5.344983E-02,2.824675E-02,1.696767E-02,1.152228E-02,5.704020E-03,3.480241E-03,3.789372E-01,4.040422E-01,5.930213E-01,7.657458E-01,8.728004E-01,9.373581E-01,8.817840E-01,7.932093E-01,6.963483E-01,5.387816E-01,4.122766E-01,2.628112E-01,1.822954E-01,1.090645E-01,6.852684E-02,3.645934E-02,2.208866E-02,1.506046E-02,7.342280E-03,4.462222E-03,5.063975E-01,5.423245E-01,8.040165E-01,1.030878E+00,1.177250E+00,1.273380E+00,1.211023E+00,1.064518E+00,9.313264E-01,7.216707E-01,5.527440E-01,3.509401E-01,2.434906E-01,1.470206E-01,9.053133E-02,4.853111E-02,3.017297E-02,2.025826E-02,9.798967E-03,6.076816E-03,6.169561E-01,6.615672E-01,9.875232E-01,1.266879E+00,1.448018E+00,1.572254E+00,1.480437E+00,1.305837E+00,1.135220E+00,8.821841E-01,6.738035E-01,4.275481E-01,2.970751E-01,1.791241E-01,1.097247E-01,5.924761E-02,3.718713E-02,2.449451E-02,1.197932E-02,7.494425E-03,7.406896E-01,7.942467E-01,1.198904E+00,1.534934E+00,1.758051E+00,1.909544E+00,1.791017E+00,1.579647E+00,1.366263E+00,1.061253E+00,8.076090E-01,5.113038E-01,3.556232E-01,2.140979E-01,1.307520E-01,7.073756E-02,4.428190E-02,2.917520E-02,1.434209E-02,9.062513E-03
1003,-79.31730,-6.63600,1.434248E-01,1.497729E-01,2.249022E-01,2.906162E-01,3.347963E-01,3.529626E-01,3.325347E-01,2.973172E-01,2.635726E-01,2.022914E-01,1.577851E-01,1.020276E-01,7.163116E-02,4.179420E-02,2.613753E-02,1.368640E-02,8.509114E-03,5.794451E-03,2.939578E-03,1.777510E-03,2.652225E-01,2.823630E-01,4.148920E-01,5.335515E-01,6.074121E-01,6.534520E-01,6.204496E-01,5.578803E-01,4.904149E-01,3.789209E-01,3.021054E-01,1.939685E-01,1.360587E-01,7.826236E-02,4.995332E-02,2.654447E-02,1.655178E-02,1.139946E-02,5.633438E-03,3.473894E-03,3.396011E-01,3.598292E-01,5.286815E-01,6.791737E-01,7.782574E-01,8.340145E-01,7.968405E-01,7.199419E-01,6.310365E-01,4.843283E-01,3.890739E-01,2.484872E-01,1.731572E-01,9.966166E-02,6.419630E-02,3.424727E-02,2.128457E-02,1.457248E-02,7.252616E-03,4.425425E-03,4.581695E-01,4.806951E-01,6.997771E-01,8.987865E-01,1.023373E+00,1.112478E+00,1.060951E+00,9.583369E-01,8.417063E-01,6.446533E-01,5.207431E-01,3.306818E-01,2.288790E-01,1.324192E-01,8.541736E-02,4.576261E-02,2.869483E-02,1.951919E-02,9.746083E-03,5.976153E-03,5.536805E-01,5.801101E-01,8.523617E-01,1.091089E+00,1.250921E+00,1.358308E+00,1.301241E+00,1.163432E+00,1.025077E+00,7.850263E-01,6.334406E-01,4.000467E-01,2.760784E-01,1.601286E-01,1.033870E-01,5.567209E-02,3.475651E-02,2.396099E-02,1.184713E-02,7.335464E-03,6.540265E-01,6.870238E-01,1.019290E+00,1.311723E+00,1.496172E+00,1.632024E+00,1.577263E+00,1.397528E+00,1.228199E+00,9.396425E-01,7.569784E-01,4.750030E-01,3.274069E-01,1.897257E-01,1.228952E-01,6.625699E-02,4.127092E-02,2.898357E-02,1.412337E-02,8.833134E-03
1004,-79.68600,-6.62060,1.695682E-01,1.776890E-01,2.706164E-01,3.519167E-01,3.978699E-01,4.234505E-01,3.938782E-01,3.491333E-01,3.031142E-01,2.332890E-01,1.802693E-01,1.131235E-01,7.801474E-02,4.573880E-02,2.878951E-02,1.500516E-02,8.906771E-03,6.015311E-03,3.000532E-03,1.843565E-03,3.225644E-01,3.377919E-01,5.010446E-01,6.501948E-01,7.394108E-01,7.903407E-01,7.398490E-01,6.574078E-01,5.732648E-01,4.409557E-01,3.425384E-01,2.154142E-01,1.495103E-01,8.781914E-02,5.599191E-02,2.938747E-02,1.755884E-02,1.215812E-02,5.952529E-03,3.616318E-03,4.125463E-01,4.371613E-01,6.430397E-01,8.311517E-01,9.454029E-01,1.015483E+00,9.518971E-01,8.502052E-01,7.405270E-01,5.712861E-01,4.420604E-01,2.786033E-01,1.919400E-01,1.134903E-01,7.225683E-02,3.796511E-02,2.318430E-02,1.605890E-02,7.771114E-03,4.725591E-03,5.550094E-01,5.916175E-01,8.594746E-01,1.110840E+00,1.266557E+00,1.374812E+00,1.297680E+00,1.140563E+00,1.010621E+00,7.705874E-01,5.959036E-01,3.757334E-01,2.598532E-01,1.529143E-01,9.646433E-02,5.113387E-02,3.166773E-02,2.169109E-02,1.054952E-02,6.508423E-03,6.764359E-01,7.200654E-01,1.050520E+00,1.353677E+00,1.551721E+00,1.675203E+00,1.599213E+00,1.399118E+00,1.230970E+00,9.385329E-01,7.328012E-01,4.601983E-01,3.168932E-01,1.869677E-01,1.180427E-01,6.259804E-02,3.917048E-02,2.664519E-02,1.315555E-02,8.049251E-03,8.077013E-01,8.587112E-01,1.264725E+00,1.626451E+00,1.864990E+00,2.031294E+00,1.934406E+00,1.684960E+00,1.470593E+00,1.123953E+00,8.811844E-01,5.504791E-01,3.822668E-01,2.237111E-01,1.423319E-01,7.570142E-02,4.742274E-02,3.196843E-02,1.575108E-02,9.788364E-03
