#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.16', investigation_time=50.0, imt='SA(10.0)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012370,poe-0.0015301,poe-0.0018927,poe-0.0023412,poe-0.0028960,poe-0.0035823,poe-0.0044312,poe-0.0054813,poe-0.0067802,poe-0.0083870,poe-0.0103745,poe-0.0128329,poe-0.0158740,poe-0.0196357,poe-0.0242889,poe-0.0300447,poe-0.0371645,poe-0.0459716,poe-0.0568656,poe-0.0703413,poe-0.0870103,poe-0.1076295,poe-0.1331349,poe-0.1646843,poe-0.2037102,poe-0.2519842,poe-0.3116979,poe-0.3855621,poe-0.4769302,poe-0.5899502,poe-0.7297530,poe-0.9026854,poe-1.1165982,poe-1.3812027,poe-1.7085116,poe-2.1133842,poe-2.6142009,poe-3.2336982,poe-4.0000000
1001,-79.80780,-6.84650,0.00000,8.089186E-01,6.811027E-01,5.394948E-01,3.945849E-01,2.686347E-01,1.728276E-01,1.043411E-01,5.774275E-02,3.096365E-02,1.615457E-02,7.904222E-03,3.444620E-03,1.341677E-03,4.672575E-04,1.265603E-04,2.557039E-05,1.549721E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,8.112243E-01,6.798139E-01,5.183421E-01,3.703074E-01,2.537892E-01,1.607292E-01,9.280701E-02,5.100806E-02,2.774487E-02,1.412751E-02,6.782591E-03,2.936644E-03,1.100821E-03,3.310615E-04,7.356358E-05,1.478195E-05,3.218651E-06,2.980232E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,7.991002E-01,6.520599E-01,5.017193E-01,3.637772E-01,2.527285E-01,1.613243E-01,9.223945E-02,4.981068E-02,2.649395E-02,1.326420E-02,6.183065E-03,2.586755E-03,9.523861E-04,2.985768E-04,1.046062E-04,3.082411E-05,7.561275E-06,2.980232E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,8.125843E-01,6.876107E-01,5.401863E-01,3.833929E-01,2.666065E-01,1.725077E-01,1.024541E-01,5.936613E-02,3.364906E-02,1.766880E-02,8.725281E-03,4.054741E-03,1.520469E-03,5.203945E-04,2.098082E-04,8.464248E-05,2.853359E-05,6.020069E-06,5.364418E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
