#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.5', investigation_time=50.0, imt='SA(0.75)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012370,poe-0.0015301,poe-0.0018927,poe-0.0023412,poe-0.0028960,poe-0.0035823,poe-0.0044312,poe-0.0054813,poe-0.0067802,poe-0.0083870,poe-0.0103745,poe-0.0128329,poe-0.0158740,poe-0.0196357,poe-0.0242889,poe-0.0300447,poe-0.0371645,poe-0.0459716,poe-0.0568656,poe-0.0703413,poe-0.0870103,poe-0.1076295,poe-0.1331349,poe-0.1646843,poe-0.2037102,poe-0.2519842,poe-0.3116979,poe-0.3855621,poe-0.4769302,poe-0.5899502,poe-0.7297530,poe-0.9026854,poe-1.1165982,poe-1.3812027,poe-1.7085116,poe-2.1133842,poe-2.6142009,poe-3.2336982,poe-4.0000000
1001,-79.80780,-6.84650,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999983E-01,9.998878E-01,9.979375E-01,9.850317E-01,9.391044E-01,8.360429E-01,6.866509E-01,5.183448E-01,3.614295E-01,2.386423E-01,1.531101E-01,9.359664E-02,5.465630E-02,3.101325E-02,1.686786E-02,8.735257E-03,4.286214E-03,1.966411E-03,8.299554E-04,2.698702E-04,8.779763E-05,2.181530E-05,2.443790E-06,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999878E-01,9.996048E-01,9.953154E-01,9.732658E-01,9.064485E-01,7.833433E-01,6.255134E-01,4.554185E-01,3.119988E-01,2.036625E-01,1.255755E-01,7.375475E-02,4.149846E-02,2.244250E-02,1.160361E-02,5.656100E-03,2.580920E-03,1.084757E-03,4.157603E-04,1.413225E-04,3.778934E-05,5.483627E-06,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999615E-01,9.990185E-01,9.906875E-01,9.566932E-01,8.788989E-01,7.455219E-01,5.794700E-01,4.137135E-01,2.805433E-01,1.792361E-01,1.117128E-01,6.574219E-02,3.645333E-02,1.881565E-02,9.434802E-03,4.143202E-03,1.598487E-03,5.782200E-04,1.811367E-04,4.631271E-05,7.569787E-06,7.748604E-07,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999943E-01,9.997591E-01,9.965790E-01,9.791945E-01,9.248658E-01,8.130466E-01,6.581920E-01,4.927435E-01,3.431480E-01,2.239563E-01,1.410537E-01,8.492756E-02,4.850028E-02,2.650309E-02,1.389548E-02,6.901281E-03,3.207501E-03,1.345631E-03,5.213619E-04,1.775416E-04,5.102154E-05,9.775160E-06,4.172325E-07,0.000000E+00,0.000000E+00
