#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.16', investigation_time=50.0, imt='SA(0.75)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012370,poe-0.0015301,poe-0.0018927,poe-0.0023412,poe-0.0028960,poe-0.0035823,poe-0.0044312,poe-0.0054813,poe-0.0067802,poe-0.0083870,poe-0.0103745,poe-0.0128329,poe-0.0158740,poe-0.0196357,poe-0.0242889,poe-0.0300447,poe-0.0371645,poe-0.0459716,poe-0.0568656,poe-0.0703413,poe-0.0870103,poe-0.1076295,poe-0.1331349,poe-0.1646843,poe-0.2037102,poe-0.2519842,poe-0.3116979,poe-0.3855621,poe-0.4769302,poe-0.5899502,poe-0.7297530,poe-0.9026854,poe-1.1165982,poe-1.3812027,poe-1.7085116,poe-2.1133842,poe-2.6142009,poe-3.2336982,poe-4.0000000
1001,-79.80780,-6.84650,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999872E-01,9.994950E-01,9.937317E-01,9.656734E-01,8.946708E-01,7.704120E-01,6.177703E-01,4.531630E-01,3.127850E-01,2.067590E-01,1.303809E-01,7.689770E-02,4.227576E-02,2.223362E-02,1.084445E-02,4.841041E-03,1.978514E-03,7.197451E-04,2.179130E-04,4.750490E-05,4.470348E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999991E-01,9.999269E-01,9.984418E-01,9.866444E-01,9.440942E-01,8.534570E-01,7.132004E-01,5.551690E-01,3.994549E-01,2.721858E-01,1.724415E-01,1.019805E-01,5.684683E-02,2.971330E-02,1.460905E-02,6.697601E-03,2.741457E-03,9.994939E-04,3.227555E-04,7.516146E-05,8.612666E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999939E-01,9.997360E-01,9.966443E-01,9.778261E-01,9.223033E-01,8.153930E-01,6.702734E-01,5.164107E-01,3.671278E-01,2.435461E-01,1.502827E-01,8.851811E-02,4.803113E-02,2.466324E-02,1.160493E-02,4.918953E-03,1.857294E-03,5.938680E-04,1.440946E-04,1.919266E-05,2.384186E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999996E-01,9.999641E-01,9.989969E-01,9.907388E-01,9.556196E-01,8.742447E-01,7.451946E-01,5.872945E-01,4.361716E-01,3.013380E-01,1.919931E-01,1.158965E-01,6.609406E-02,3.660242E-02,1.839733E-02,8.842353E-03,3.796804E-03,1.460171E-03,4.726877E-04,1.218901E-04,1.590003E-05,5.960464E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
