#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.5', investigation_time=50.0, imt='SA(5.0)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012370,poe-0.0015301,poe-0.0018927,poe-0.0023412,poe-0.0028960,poe-0.0035823,poe-0.0044312,poe-0.0054813,poe-0.0067802,poe-0.0083870,poe-0.0103745,poe-0.0128329,poe-0.0158740,poe-0.0196357,poe-0.0242889,poe-0.0300447,poe-0.0371645,poe-0.0459716,poe-0.0568656,poe-0.0703413,poe-0.0870103,poe-0.1076295,poe-0.1331349,poe-0.1646843,poe-0.2037102,poe-0.2519842,poe-0.3116979,poe-0.3855621,poe-0.4769302,poe-0.5899502,poe-0.7297530,poe-0.9026854,poe-1.1165982,poe-1.3812027,poe-1.7085116,poe-2.1133842,poe-2.6142009,poe-3.2336982,poe-4.0000000
1001,-79.80780,-6.84650,0.00000,9.999992E-01,9.999620E-01,9.993456E-01,9.945536E-01,9.765334E-01,9.321280E-01,8.533571E-01,7.420397E-01,6.175548E-01,4.818826E-01,3.527784E-01,2.468718E-01,1.616124E-01,9.930767E-02,5.784558E-02,3.311940E-02,1.700975E-02,7.900619E-03,3.375677E-03,1.277692E-03,4.097161E-04,9.906257E-05,1.513958E-05,2.563000E-06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,9.999986E-01,9.999474E-01,9.990811E-01,9.934226E-01,9.733021E-01,9.235388E-01,8.352541E-01,7.165310E-01,5.767461E-01,4.354020E-01,3.072769E-01,2.035469E-01,1.279856E-01,7.518280E-02,4.216527E-02,2.225496E-02,1.114708E-02,5.194691E-03,2.057416E-03,7.636364E-04,3.008224E-04,1.019835E-04,1.448392E-05,8.344650E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,9.999974E-01,9.999202E-01,9.989472E-01,9.923501E-01,9.700221E-01,9.147969E-01,8.183040E-01,6.839347E-01,5.390858E-01,3.944069E-01,2.708157E-01,1.762958E-01,1.073507E-01,6.271663E-02,3.397005E-02,1.755545E-02,8.494505E-03,3.700284E-03,1.480433E-03,5.411734E-04,1.570476E-04,3.807927E-05,5.424023E-06,6.556510E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,9.999990E-01,9.999579E-01,9.992591E-01,9.941694E-01,9.758437E-01,9.299030E-01,8.454325E-01,7.298865E-01,5.903956E-01,4.528755E-01,3.256553E-01,2.195191E-01,1.416549E-01,8.645010E-02,4.917048E-02,2.626612E-02,1.334013E-02,6.311011E-03,2.808276E-03,1.199051E-03,4.564837E-04,1.434087E-04,4.190207E-05,9.179115E-06,1.490116E-06,3.803129E-22,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
