#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.5', investigation_time=50.0, imt='SA(0.02)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012499,poe-0.0015623,poe-0.0019527,poe-0.0024406,poe-0.0030506,poe-0.0038129,poe-0.0047657,poe-0.0059567,poe-0.0074453,poe-0.0093059,poe-0.0116314,poe-0.0145381,poe-0.0181712,poe-0.0227122,poe-0.0283880,poe-0.0354822,poe-0.0443493,poe-0.0554322,poe-0.0692848,poe-0.0865991,poe-0.1082403,poe-0.1352897,poe-0.1690988,poe-0.2113568,poe-0.2641751,poe-0.3301927,poe-0.4127083,poe-0.5158445,poe-0.6447547,poe-0.8058797,poe-1.0072699,poe-1.2589878,poe-1.5736104,poe-1.9668574,poe-2.4583774,poe-3.0727288,poe-3.8406073,poe-4.8003796,poe-6.0000000
1001,-79.80780,-6.84650,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999951E-01,9.997007E-01,9.946681E-01,9.637125E-01,8.751159E-01,7.231526E-01,5.417276E-01,3.669582E-01,2.315611E-01,1.428550E-01,8.557526E-02,4.846654E-02,2.619536E-02,1.332823E-02,6.548353E-03,2.969980E-03,1.237731E-03,4.723023E-04,1.487136E-04,3.159046E-05,3.814697E-06,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999995E-01,9.999357E-01,9.983174E-01,9.847242E-01,9.320822E-01,8.098338E-01,6.344996E-01,4.558024E-01,3.027792E-01,1.882846E-01,1.108093E-01,6.171342E-02,3.176297E-02,1.646094E-02,7.850706E-03,3.646353E-03,1.486942E-03,5.686581E-04,1.894236E-04,4.577637E-05,6.854534E-06,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999918E-01,9.996134E-01,9.945023E-01,9.668069E-01,8.838235E-01,7.436526E-01,5.647348E-01,3.875942E-01,2.507123E-01,1.457941E-01,8.289998E-02,4.478297E-02,2.143484E-02,9.672215E-03,4.300934E-03,1.750231E-03,6.306804E-04,1.897812E-04,4.738569E-05,7.152557E-06,5.960464E-08,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999777E-01,9.992445E-01,9.917322E-01,9.524015E-01,8.516306E-01,6.979678E-01,5.166324E-01,3.551864E-01,2.251154E-01,1.353627E-01,7.765370E-02,4.158733E-02,2.090991E-02,9.884000E-03,4.411010E-03,1.898229E-03,7.415666E-04,2.473046E-04,6.240606E-05,1.114607E-05,2.980232E-07,0.000000E+00,0.000000E+00
