#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-08T13:17:40', checksum=3060480230, kind='quantile-0.5', investigation_time=50.0, imt='SA(0.4)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012499,poe-0.0015623,poe-0.0019527,poe-0.0024406,poe-0.0030506,poe-0.0038129,poe-0.0047657,poe-0.0059567,poe-0.0074453,poe-0.0093059,poe-0.0116314,poe-0.0145381,poe-0.0181712,poe-0.0227122,poe-0.0283880,poe-0.0354822,poe-0.0443493,poe-0.0554322,poe-0.0692848,poe-0.0865991,poe-0.1082403,poe-0.1352897,poe-0.1690988,poe-0.2113568,poe-0.2641751,poe-0.3301927,poe-0.4127083,poe-0.5158445,poe-0.6447547,poe-0.8058797,poe-1.0072699,poe-1.2589878,poe-1.5736104,poe-1.9668574,poe-2.4583774,poe-3.0727288,poe-3.8406073,poe-4.8003796,poe-6.0000000
1001,-79.80780,-6.84650,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999967E-01,9.997686E-01,9.959447E-01,9.729816E-01,9.063618E-01,7.710018E-01,5.893799E-01,4.032456E-01,2.560107E-01,1.587158E-01,9.534051E-02,5.547001E-02,2.983421E-02,1.555788E-02,7.828215E-03,3.734997E-03,1.613882E-03,5.100356E-04,1.840591E-04,5.370378E-05,9.953976E-06,4.172325E-07
1002,-79.55450,-6.76220,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999687E-01,9.989389E-01,9.892321E-01,9.478272E-01,8.457298E-01,6.865459E-01,4.974492E-01,3.346681E-01,2.087584E-01,1.230744E-01,6.932830E-02,3.770474E-02,1.998103E-02,1.002855E-02,4.717036E-03,1.888310E-03,7.611508E-04,2.818702E-04,8.881092E-05,2.002716E-05,1.609325E-06,0.000000E+00
1003,-79.31730,-6.63600,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999972E-01,9.998114E-01,9.967255E-01,9.763245E-01,9.090377E-01,7.849438E-01,6.085625E-01,4.340920E-01,2.825400E-01,1.743876E-01,9.912653E-02,5.428470E-02,2.813932E-02,1.399153E-02,6.437368E-03,2.781309E-03,1.071424E-03,3.690691E-04,1.081823E-04,2.352054E-05,2.205372E-06,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999868E-01,9.994341E-01,9.928999E-01,9.606528E-01,8.730755E-01,7.314239E-01,5.450912E-01,3.763277E-01,2.377170E-01,1.439530E-01,8.101554E-02,4.452365E-02,2.329435E-02,1.145542E-02,5.466400E-03,2.422118E-03,9.962467E-04,3.605018E-04,1.108247E-04,2.676249E-05,3.039837E-06,0.000000E+00
