#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.18.0', start_date='2024-02-16T21:25:10', checksum=1730296092, kind='mean', investigation_time=50.0, imt='SA(1.5)'"
custom_site_id,lon,lat,depth,poe-0.0010000,poe-0.0012370,poe-0.0015301,poe-0.0018927,poe-0.0023412,poe-0.0028960,poe-0.0035823,poe-0.0044312,poe-0.0054813,poe-0.0067802,poe-0.0083870,poe-0.0103745,poe-0.0128329,poe-0.0158740,poe-0.0196357,poe-0.0242889,poe-0.0300447,poe-0.0371645,poe-0.0459716,poe-0.0568656,poe-0.0703413,poe-0.0870103,poe-0.1076295,poe-0.1331349,poe-0.1646843,poe-0.2037102,poe-0.2519842,poe-0.3116979,poe-0.3855621,poe-0.4769302,poe-0.5899502,poe-0.7297530,poe-0.9026854,poe-1.1165982,poe-1.3812027,poe-1.7085116,poe-2.1133842,poe-2.6142009,poe-3.2336982,poe-4.0000000
1001,-79.80780,-6.84650,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999963E-01,9.998749E-01,9.983003E-01,9.885628E-01,9.549146E-01,8.805347E-01,7.629656E-01,6.179102E-01,4.687168E-01,3.346412E-01,2.259793E-01,1.448521E-01,8.831122E-02,5.121900E-02,2.820516E-02,1.468431E-02,7.177110E-03,3.255694E-03,1.345042E-03,4.900392E-04,1.492272E-04,3.608887E-05,7.253586E-06,7.426739E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1002,-79.55450,-6.76220,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999998E-01,9.999864E-01,9.996879E-01,9.967892E-01,9.822569E-01,9.388986E-01,8.521914E-01,7.241818E-01,5.736986E-01,4.246105E-01,2.949349E-01,1.931482E-01,1.196747E-01,7.026897E-02,3.907884E-02,2.052262E-02,1.011501E-02,4.629331E-03,1.934908E-03,7.205889E-04,2.304836E-04,6.215094E-05,1.470949E-05,2.321599E-06,8.940697E-08,5.960465E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1003,-79.31730,-6.63600,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999990E-01,9.999620E-01,9.993717E-01,9.948425E-01,9.755290E-01,9.238490E-01,8.277298E-01,6.926634E-01,5.394912E-01,3.920635E-01,2.671555E-01,1.715346E-01,1.041447E-01,5.986559E-02,3.255583E-02,1.668693E-02,8.002080E-03,3.549183E-03,1.430756E-03,5.128894E-04,1.606837E-04,4.316420E-05,9.092061E-06,1.389980E-06,2.384186E-07,3.576279E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1004,-79.68600,-6.62060,0.00000,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,1.000000E+00,9.999999E-01,9.999918E-01,9.997873E-01,9.975864E-01,9.856334E-01,9.476926E-01,8.681167E-01,7.462173E-01,5.986803E-01,4.489980E-01,3.161677E-01,2.100287E-01,1.321292E-01,7.889389E-02,4.472296E-02,2.402215E-02,1.217327E-02,5.774341E-03,2.535400E-03,1.013307E-03,3.605920E-04,1.133591E-04,3.315829E-05,8.106509E-06,1.312494E-06,1.788139E-07,1.788139E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
