Unnamed: 0,Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value,Smoothed Rate Scaled
381,-73.0076,-14.0739,111.5176468,131667,55239.6,1.22,17950.22326
382,-72.9076,-14.0739,111.6136322,131667,53849.8,1.22,17498.60485
383,-72.8076,-14.0739,111.7589417,0,41813.9,1.22,13587.51404
384,-72.7076,-14.0739,112.0331879,32916,25795,1.22,8382.139065
385,-72.6076,-14.0739,112.5160828,0,13429.3,1.22,4363.879052
386,-72.5076,-14.0739,113.2816162,0,7793.57,1.22,2532.536831
387,-72.4076,-14.0739,114.3935623,0,7243.24,1.22,2353.705949
388,-72.3076,-14.0739,115.9031067,0,8367.23,1.22,2718.948845
389,-72.2076,-14.0739,117.8487778,0,8830.65,1.22,2869.53814
390,-72.1076,-14.0739,120.2582016,0,8455.04,1.22,2747.482887
391,-72.0076,-14.0739,123.1514969,0,8146.11,1.22,2647.095439
392,-71.9076,-14.0739,126.5449982,0,8132.02,1.22,2642.516864
393,-71.8076,-14.0739,130.4553986,0,7629.92,1.22,2479.358422
394,-71.7076,-14.0739,134.9035034,0,6084.94,1.22,1977.313948
395,-71.6076,-14.0739,139.9183044,0,4164.76,1.22,1353.347451
396,-71.5076,-14.0739,145.5395966,0,3130.06,1.22,1017.119527
397,-71.4076,-14.0739,151.8213959,0,3392.34,1.22,1102.34796
398,-71.3076,-14.0739,158.8332062,32916,4058.94,1.22,1318.961021
399,-71.2076,-14.0739,166.6587982,32916,3955.95,1.22,1285.494206
400,-71.1076,-14.0739,175.3930054,0,2883.81,1.22,937.1000759
401,-71.0076,-14.0739,185.1329041,0,1607.41,1.22,522.331233
402,-70.9076,-14.0739,195.9664001,0,841.582,1.22,273.4738267
403,-70.8076,-14.0739,207.9584045,0,733.602,1.22,238.3855004
404,-70.7076,-14.0739,221.1372986,0,1111.65,1.22,361.2329867
405,-70.6076,-14.0739,235.4837036,0,1647.91,1.22,535.4917925
406,-70.5076,-14.0739,250.9255066,0,1863.99,1.22,605.7074393
407,-70.4076,-14.0739,267.3385925,0,1505.18,1.22,489.1113812
408,-70.3076,-14.0739,284.553894,0,848.85,1.22,275.8355784
409,-70.2076,-14.0739,302.3688965,0,331.708,1.22,107.7892066
439,-74.1076,-14.1739,103.9870529,0,23221.8,1.22,7545.972356
440,-74.0076,-14.1739,105.0063629,0,27393.1,1.22,8901.444994
441,-73.9076,-14.1739,106.0180969,131667,33497.3,1.22,10885.01752
442,-73.8076,-14.1739,107.0041733,0,39817.8,1.22,12938.87718
443,-73.7076,-14.1739,107.9358826,131667,43460.9,1.22,14122.71013
444,-73.6076,-14.1739,108.7793121,32916,43056.1,1.22,13991.16952
445,-73.5076,-14.1739,109.501358,98750,40137.8,1.22,13042.86185
446,-73.4076,-14.1739,110.0763626,32916,37475.3,1.22,12177.67692
447,-73.3076,-14.1739,110.4920578,65833,38009,1.22,12351.10385
448,-73.2076,-14.1739,110.7541885,32916,44341.5,1.22,14408.86293
449,-73.1076,-14.1739,110.8889771,65833,55411.5,1.22,18006.08253
450,-73.0076,-14.1739,110.9430237,164584,63907,1.22,20766.71298
451,-72.9076,-14.1739,110.9804306,197501,61434.4,1.22,19963.23645
452,-72.8076,-14.1739,111.077919,131667,47312,1.22,15374.1331
453,-72.7076,-14.1739,111.3181992,0,29428.7,1.22,9562.917461
454,-72.6076,-14.1739,111.7831116,0,16569.9,1.22,5384.423574
455,-72.5076,-14.1739,112.5474167,0,12028.9,1.22,3908.81615
456,-72.4076,-14.1739,113.6742935,0,13380.5,1.22,4348.02139
457,-72.3076,-14.1739,115.2129288,0,15882.7,1.22,5161.1165
458,-72.2076,-14.1739,117.1985779,32916,16273.6,1.22,5288.140271
459,-72.1076,-14.1739,119.6544571,0,14551.7,1.22,4728.605273
460,-72.0076,-14.1739,122.5951004,0,12542.2,1.22,4075.614056
461,-71.9076,-14.1739,126.0301971,0,11204.9,1.22,3641.055631
462,-71.8076,-14.1739,129.9685974,32916,9828.88,1.22,3193.915062
463,-71.7076,-14.1739,134.4226074,0,7600.93,1.22,2469.938061
464,-71.6076,-14.1739,139.4111023,0,5128.15,1.22,1666.403041
465,-71.5076,-14.1739,144.9638977,0,3728.34,1.22,1211.531861
466,-71.4076,-14.1739,151.1248932,0,3735.82,1.22,1213.962503
467,-71.3076,-14.1739,157.9537048,0,4216.68,1.22,1370.218963
468,-71.2076,-14.1739,165.5261993,0,4107.8,1.22,1334.83818
469,-71.1076,-14.1739,173.9308929,0,3223.58,1.22,1047.509046
470,-71.0076,-14.1739,183.2612,0,2196.06,1.22,713.6142785
471,-70.9076,-14.1739,193.6042023,0,1631.66,1.22,530.2113211
472,-70.8076,-14.1739,205.0265045,0,1580.44,1.22,513.5672752
