Unnamed: 0,Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value,Smoothed Rate Scaled
96,-67.6578,-21.581,150.904007,0,24453,1.22,8000.474243
97,-67.5578,-21.581,156.4532928,0,29508.6,1.22,9654.553398
98,-67.4578,-21.581,162.1674042,32916,34413.3,1.22,11259.26145
99,-67.3578,-21.581,168.0196075,32916,38412.1,1.22,12567.5793
100,-67.2578,-21.581,173.9886932,0,41226.6,1.22,13488.4207
101,-67.1578,-21.581,180.0579071,32916,42761,1.22,13990.44204
102,-67.0578,-21.581,186.2140045,32916,43008.6,1.22,14071.45121
103,-66.9578,-21.581,192.4461975,98750,42206.3,1.22,13808.95661
104,-66.8578,-21.581,198.7469025,65833,40354.8,1.22,13203.18726
105,-66.7578,-21.581,205.1116943,131667,36306.4,1.22,11878.6414
106,-66.6578,-21.581,211.5399017,131667,28807.4,1.22,9425.136453
107,-66.5578,-21.581,218.035202,0,19086.9,1.22,6244.806438
108,-66.4578,-21.581,224.6053009,0,10580.8,1.22,3461.800919
109,-66.3578,-21.581,231.2617035,0,5536.51,1.22,1811.422142
110,-66.2578,-21.581,238.0180054,0,3441.92,1.22,1126.11918
111,-66.1578,-21.581,244.8890991,0,2804.79,1.22,917.6645054
112,-66.0578,-21.581,251.8901062,0,2868.37,1.22,938.4664582
113,-65.9578,-21.581,259.0343933,0,3522.87,1.22,1152.604208
114,-65.8578,-21.581,266.3331909,0,4648.34,1.22,1520.832799
115,-65.7578,-21.581,273.7944946,0,5847.24,1.22,1913.086043
116,-65.6578,-21.581,281.4234924,32916,6418.5,1.22,2099.989528
117,-65.5578,-21.581,289.2236938,0,5757.9,1.22,1883.855995
118,-65.4578,-21.581,297.199585,0,4060.6,1.22,1328.537427
119,-65.3578,-21.581,305.3608093,0,2237.33,1.22,732.0042955
120,-65.2578,-21.581,313.7262878,0,989.368,1.22,323.6990635
124,-71.0578,-21.681,33.0169296,0,49.0908,1.22,16.06141091
125,-70.9578,-21.681,34.8100204,0,227.525,1.22,74.44108707
126,-70.8578,-21.681,36.8163986,0,761.17,1.22,249.0377859
127,-70.7578,-21.681,39.0432014,0,1842.45,1.22,602.8083985
128,-70.6578,-21.681,41.4987297,0,3304.97,1.22,1081.312205
129,-70.5578,-21.681,44.1917992,0,4620.01,1.22,1511.563857
130,-70.4578,-21.681,47.12994,0,5561.39,1.22,1819.562322
131,-70.3578,-21.681,50.3165207,0,6592.05,1.22,2156.771203
132,-70.2578,-21.681,53.7474709,0,8291.04,1.22,2712.642701
133,-70.1578,-21.681,57.4080086,32916,10656.7,1.22,3486.6337
134,-70.0578,-21.681,61.2703705,0,12797.6,1.22,4187.088258
135,-69.9578,-21.681,65.2930374,32916,13252.1,1.22,4335.790484
136,-69.8578,-21.681,69.4218903,0,11306.8,1.22,3699.331868
137,-69.7578,-21.681,73.593338,0,7979.46,1.22,2610.700699
138,-69.6578,-21.681,77.73909,0,5084,1.22,1663.370999
139,-69.5578,-21.681,81.7920227,0,3625.65,1.22,1186.231523
140,-69.4578,-21.681,85.6923828,0,3481.82,1.22,1139.173567
141,-69.3578,-21.681,89.3935776,0,4335.51,1.22,1418.481826
142,-69.2578,-21.681,92.8668137,0,6816.95,1.22,2230.353449
143,-69.1578,-21.681,96.1042633,0,13060.1,1.22,4272.972382
144,-69.0578,-21.681,99.1202927,0,26664.8,1.22,8724.125694
145,-68.9578,-21.681,101.9508667,32916,51803,1.22,16948.78204
