,Fault Source Name,Slip Rate,Lower Seismogenic Depth,Dip,Magnitude Scaling Relationship,Mmax (L),Mmax (P),Mmax (U)
329,FallaChulibaya,Lower,Pref,Upper,Upper,6.22,6.52,6.82
330,FallaCupine-pampaTrapiche,Lower,Pref,Upper,Upper,7.29,7.59,7.89
331,FallaMesacalane,Lower,Pref,Upper,Upper,6.24,6.54,6.84
332,FallaTambo,Lower,Pref,Upper,Upper,6.93,7.23,7.53
333,FallaToquepala,Lower,Pref,Upper,Upper,7.02,7.32,7.62
334,ZonadefallasCarumas-Calacoa,Lower,Pref,Upper,Upper,7.09,7.39,7.69
335,ZonadefallasCoralaque,Lower,Pref,Upper,Upper,6.73,7.03,7.33
336,ZonadefallasHuaynaputina,Lower,Pref,Upper,Upper,6.81,7.11,7.41
337,ZonadefallasIchuna,Lower,Pref,Upper,Upper,7.24,7.54,7.84
338,ZonadefallasPastoGrande,Lower,Pref,Upper,Upper,7.0,7.3,7.6
339,ZonadefallasTicsani-Suches,Lower,Pref,Upper,Upper,6.87,7.17,7.47
340,FallaPurgatorio,Lower,Lower,Upper,Upper,6.91,7.21,7.51
341,FallaIncapuquio,Lower,Lower,Upper,Upper,7.15,7.45,7.75
342,FallaMicalaco,Lower,Lower,Upper,Upper,6.68,6.98,7.28
343,FallaCerroRocoso,Lower,Lower,Upper,Upper,6.28,6.58,6.88
344,FallaChascoso,Lower,Lower,Upper,Upper,5.9,6.2,6.5
345,FallaChololo,Lower,Lower,Upper,Upper,6.98,7.28,7.58
346,FallaChulibaya,Lower,Lower,Upper,Upper,6.12,6.42,6.72
347,FallaCupine-pampaTrapiche,Lower,Lower,Upper,Upper,7.19,7.49,7.79
348,FallaMesacalane,Lower,Lower,Upper,Upper,6.14,6.44,6.74
349,FallaTambo,Lower,Lower,Upper,Upper,6.84,7.14,7.44
350,FallaToquepala,Lower,Lower,Upper,Upper,6.93,7.23,7.53
351,ZonadefallasCarumas-Calacoa,Lower,Lower,Upper,Upper,6.99,7.29,7.59
352,ZonadefallasCoralaque,Lower,Lower,Upper,Upper,6.63,6.93,7.23
353,ZonadefallasHuaynaputina,Lower,Lower,Upper,Upper,6.71,7.01,7.31
354,ZonadefallasIchuna,Lower,Lower,Upper,Upper,7.15,7.45,7.75
355,ZonadefallasPastoGrande,Lower,Lower,Upper,Upper,6.91,7.21,7.51
356,ZonadefallasTicsani-Suches,Lower,Lower,Upper,Upper,6.77,7.07,7.37
357,FallaPurgatorio,Lower,Upper,Upper,Pref,7.08,7.38,7.68
358,FallaIncapuquio,Lower,Upper,Upper,Pref,7.33,7.63,7.93
359,FallaMicalaco,Lower,Upper,Upper,Pref,6.85,7.15,7.45
360,FallaCerroRocoso,Lower,Upper,Upper,Pref,6.45,6.75,7.05
361,FallaChascoso,Lower,Upper,Upper,Pref,6.08,6.38,6.68
362,FallaChololo,Lower,Upper,Upper,Pref,7.16,7.46,7.76
363,FallaChulibaya,Lower,Upper,Upper,Pref,6.3,6.6,6.9
364,FallaCupine-pampaTrapiche,Lower,Upper,Upper,Pref,7.37,7.67,7.97
365,FallaMesacalane,Lower,Upper,Upper,Pref,6.31,6.61,6.91
366,FallaTambo,Lower,Upper,Upper,Pref,7.01,7.31,7.61
367,FallaToquepala,Lower,Upper,Upper,Pref,7.1,7.4,7.7
368,ZonadefallasCarumas-Calacoa,Lower,Upper,Upper,Pref,7.17,7.47,7.77
369,ZonadefallasCoralaque,Lower,Upper,Upper,Pref,6.81,7.11,7.41
370,ZonadefallasHuaynaputina,Lower,Upper,Upper,Pref,6.89,7.19,7.49
371,ZonadefallasIchuna,Lower,Upper,Upper,Pref,7.32,7.62,7.92
372,ZonadefallasPastoGrande,Lower,Upper,Upper,Pref,7.08,7.38,7.68
373,ZonadefallasTicsani-Suches,Lower,Upper,Upper,Pref,6.95,7.25,7.55
374,FallaPurgatorio,Lower,Pref,Upper,Pref,7.0,7.3,7.6
375,FallaIncapuquio,Lower,Pref,Upper,Pref,7.25,7.55,7.85
376,FallaMicalaco,Lower,Pref,Upper,Pref,6.77,7.07,7.37
377,FallaCerroRocoso,Lower,Pref,Upper,Pref,6.37,6.67,6.97
378,FallaChascoso,Lower,Pref,Upper,Pref,6.0,6.3,6.6
379,FallaChololo,Lower,Pref,Upper,Pref,7.08,7.38,7.68
380,FallaChulibaya,Lower,Pref,Upper,Pref,6.22,6.52,6.82
381,FallaCupine-pampaTrapiche,Lower,Pref,Upper,Pref,7.29,7.59,7.89
382,FallaMesacalane,Lower,Pref,Upper,Pref,6.24,6.54,6.84
383,FallaTambo,Lower,Pref,Upper,Pref,6.93,7.23,7.53
384,FallaToquepala,Lower,Pref,Upper,Pref,7.02,7.32,7.62
385,ZonadefallasCarumas-Calacoa,Lower,Pref,Upper,Pref,7.09,7.39,7.69
386,ZonadefallasCoralaque,Lower,Pref,Upper,Pref,6.73,7.03,7.33
387,ZonadefallasHuaynaputina,Lower,Pref,Upper,Pref,6.81,7.11,7.41
388,ZonadefallasIchuna,Lower,Pref,Upper,Pref,7.24,7.54,7.84
389,ZonadefallasPastoGrande,Lower,Pref,Upper,Pref,7.0,7.3,7.6
390,ZonadefallasTicsani-Suches,Lower,Pref,Upper,Pref,6.87,7.17,7.47
391,FallaPurgatorio,Lower,Lower,Upper,Pref,6.91,7.21,7.51
392,FallaIncapuquio,Lower,Lower,Upper,Pref,7.15,7.45,7.75
393,FallaMicalaco,Lower,Lower,Upper,Pref,6.68,6.98,7.28
394,FallaCerroRocoso,Lower,Lower,Upper,Pref,6.28,6.58,6.88
395,FallaChascoso,Lower,Lower,Upper,Pref,5.9,6.2,6.5
396,FallaChololo,Lower,Lower,Upper,Pref,6.98,7.28,7.58
397,FallaChulibaya,Lower,Lower,Upper,Pref,6.12,6.42,6.72
398,FallaCupine-pampaTrapiche,Lower,Lower,Upper,Pref,7.19,7.49,7.79
399,FallaMesacalane,Lower,Lower,Upper,Pref,6.14,6.44,6.74
400,FallaTambo,Lower,Lower,Upper,Pref,6.84,7.14,7.44
401,FallaToquepala,Lower,Lower,Upper,Pref,6.93,7.23,7.53
402,ZonadefallasCarumas-Calacoa,Lower,Lower,Upper,Pref,6.99,7.29,7.59
403,ZonadefallasCoralaque,Lower,Lower,Upper,Pref,6.63,6.93,7.23
404,ZonadefallasHuaynaputina,Lower,Lower,Upper,Pref,6.71,7.01,7.31
405,ZonadefallasIchuna,Lower,Lower,Upper,Pref,7.15,7.45,7.75
406,ZonadefallasPastoGrande,Lower,Lower,Upper,Pref,6.91,7.21,7.51
407,ZonadefallasTicsani-Suches,Lower,Lower,Upper,Pref,6.77,7.07,7.37
408,FallaPurgatorio,Lower,Upper,Upper,Lower,7.08,7.38,7.68
409,FallaIncapuquio,Lower,Upper,Upper,Lower,7.33,7.63,7.93
410,FallaMicalaco,Lower,Upper,Upper,Lower,6.85,7.15,7.45
411,FallaCerroRocoso,Lower,Upper,Upper,Lower,6.45,6.75,7.05
412,FallaChascoso,Lower,Upper,Upper,Lower,6.08,6.38,6.68
413,FallaChololo,Lower,Upper,Upper,Lower,7.16,7.46,7.76
414,FallaChulibaya,Lower,Upper,Upper,Lower,6.3,6.6,6.9
415,FallaCupine-pampaTrapiche,Lower,Upper,Upper,Lower,7.37,7.67,7.97
416,FallaMesacalane,Lower,Upper,Upper,Lower,6.31,6.61,6.91
417,FallaTambo,Lower,Upper,Upper,Lower,7.01,7.31,7.61
418,FallaToquepala,Lower,Upper,Upper,Lower,7.1,7.4,7.7
419,ZonadefallasCarumas-Calacoa,Lower,Upper,Upper,Lower,7.17,7.47,7.77
420,ZonadefallasCoralaque,Lower,Upper,Upper,Lower,6.81,7.11,7.41
421,ZonadefallasHuaynaputina,Lower,Upper,Upper,Lower,6.89,7.19,7.49
422,ZonadefallasIchuna,Lower,Upper,Upper,Lower,7.32,7.62,7.92
423,ZonadefallasPastoGrande,Lower,Upper,Upper,Lower,7.08,7.38,7.68
424,ZonadefallasTicsani-Suches,Lower,Upper,Upper,Lower,6.95,7.25,7.55
425,FallaPurgatorio,Lower,Pref,Upper,Lower,7.0,7.3,7.6
426,FallaIncapuquio,Lower,Pref,Upper,Lower,7.25,7.55,7.85
427,FallaMicalaco,Lower,Pref,Upper,Lower,6.77,7.07,7.37
428,FallaCerroRocoso,Lower,Pref,Upper,Lower,6.37,6.67,6.97
429,FallaChascoso,Lower,Pref,Upper,Lower,6.0,6.3,6.6
430,FallaChololo,Lower,Pref,Upper,Lower,7.08,7.38,7.68
431,FallaChulibaya,Lower,Pref,Upper,Lower,6.22,6.52,6.82
432,FallaCupine-pampaTrapiche,Lower,Pref,Upper,Lower,7.29,7.59,7.89
433,FallaMesacalane,Lower,Pref,Upper,Lower,6.24,6.54,6.84
434,FallaTambo,Lower,Pref,Upper,Lower,6.93,7.23,7.53
435,FallaToquepala,Lower,Pref,Upper,Lower,7.02,7.32,7.62
436,ZonadefallasCarumas-Calacoa,Lower,Pref,Upper,Lower,7.09,7.39,7.69
437,ZonadefallasCoralaque,Lower,Pref,Upper,Lower,6.73,7.03,7.33
438,ZonadefallasHuaynaputina,Lower,Pref,Upper,Lower,6.81,7.11,7.41
439,ZonadefallasIchuna,Lower,Pref,Upper,Lower,7.24,7.54,7.84
440,ZonadefallasPastoGrande,Lower,Pref,Upper,Lower,7.0,7.3,7.6
441,ZonadefallasTicsani-Suches,Lower,Pref,Upper,Lower,6.87,7.17,7.47
442,FallaPurgatorio,Lower,Lower,Upper,Lower,6.91,7.21,7.51
443,FallaIncapuquio,Lower,Lower,Upper,Lower,7.15,7.45,7.75
444,FallaMicalaco,Lower,Lower,Upper,Lower,6.68,6.98,7.28
445,FallaCerroRocoso,Lower,Lower,Upper,Lower,6.28,6.58,6.88
446,FallaChascoso,Lower,Lower,Upper,Lower,5.9,6.2,6.5
447,FallaChololo,Lower,Lower,Upper,Lower,6.98,7.28,7.58
448,FallaChulibaya,Lower,Lower,Upper,Lower,6.12,6.42,6.72
449,FallaCupine-pampaTrapiche,Lower,Lower,Upper,Lower,7.19,7.49,7.79
450,FallaMesacalane,Lower,Lower,Upper,Lower,6.14,6.44,6.74
451,FallaTambo,Lower,Lower,Upper,Lower,6.84,7.14,7.44
452,FallaToquepala,Lower,Lower,Upper,Lower,6.93,7.23,7.53
453,ZonadefallasCarumas-Calacoa,Lower,Lower,Upper,Lower,6.99,7.29,7.59
454,ZonadefallasCoralaque,Lower,Lower,Upper,Lower,6.63,6.93,7.23
455,ZonadefallasHuaynaputina,Lower,Lower,Upper,Lower,6.71,7.01,7.31
456,ZonadefallasIchuna,Lower,Lower,Upper,Lower,7.15,7.45,7.75
457,ZonadefallasPastoGrande,Lower,Lower,Upper,Lower,6.91,7.21,7.51
458,ZonadefallasTicsani-Suches,Lower,Lower,Upper,Lower,6.77,7.07,7.37
459,FallaPurgatorio,Upper,Upper,Pref,Upper,7.05,7.35,7.65
460,FallaIncapuquio,Upper,Upper,Pref,Upper,7.22,7.52,7.82
461,FallaMicalaco,Upper,Upper,Pref,Upper,6.83,7.13,7.43
462,FallaCerroRocoso,Upper,Upper,Pref,Upper,6.4,6.7,7.0
463,FallaChascoso,Upper,Upper,Pref,Upper,6.02,6.32,6.62
464,FallaChololo,Upper,Upper,Pref,Upper,7.07,7.37,7.67
465,FallaChulibaya,Upper,Upper,Pref,Upper,6.25,6.55,6.85
466,FallaCupine-pampaTrapiche,Upper,Upper,Pref,Upper,7.28,7.58,7.88
467,FallaMesacalane,Upper,Upper,Pref,Upper,6.25,6.55,6.85
468,FallaTambo,Upper,Upper,Pref,Upper,6.94,7.24,7.54
469,FallaToquepala,Upper,Upper,Pref,Upper,7.08,7.38,7.68
470,ZonadefallasCarumas-Calacoa,Upper,Upper,Pref,Upper,7.1,7.4,7.7
471,ZonadefallasCoralaque,Upper,Upper,Pref,Upper,6.74,7.04,7.34
472,ZonadefallasHuaynaputina,Upper,Upper,Pref,Upper,6.82,7.12,7.42
473,ZonadefallasIchuna,Upper,Upper,Pref,Upper,7.26,7.56,7.86
474,ZonadefallasPastoGrande,Upper,Upper,Pref,Upper,7.02,7.32,7.62
475,ZonadefallasTicsani-Suches,Upper,Upper,Pref,Upper,6.88,7.18,7.48
476,FallaPurgatorio,Upper,Pref,Pref,Upper,6.97,7.27,7.57
477,FallaIncapuquio,Upper,Pref,Pref,Upper,7.14,7.44,7.74
478,FallaMicalaco,Upper,Pref,Pref,Upper,6.75,7.05,7.35
479,FallaCerroRocoso,Upper,Pref,Pref,Upper,6.32,6.62,6.92
480,FallaChascoso,Upper,Pref,Pref,Upper,5.94,6.24,6.54
481,FallaChololo,Upper,Pref,Pref,Upper,6.99,7.29,7.59
482,FallaChulibaya,Upper,Pref,Pref,Upper,6.17,6.47,6.77
483,FallaCupine-pampaTrapiche,Upper,Pref,Pref,Upper,7.2,7.5,7.8
484,FallaMesacalane,Upper,Pref,Pref,Upper,6.17,6.47,6.77
485,FallaTambo,Upper,Pref,Pref,Upper,6.87,7.17,7.47
486,FallaToquepala,Upper,Pref,Pref,Upper,7.0,7.3,7.6
487,ZonadefallasCarumas-Calacoa,Upper,Pref,Pref,Upper,7.02,7.32,7.62
488,ZonadefallasCoralaque,Upper,Pref,Pref,Upper,6.67,6.97,7.27
489,ZonadefallasHuaynaputina,Upper,Pref,Pref,Upper,6.74,7.04,7.34
490,ZonadefallasIchuna,Upper,Pref,Pref,Upper,7.18,7.48,7.78
491,ZonadefallasPastoGrande,Upper,Pref,Pref,Upper,6.94,7.24,7.54
492,ZonadefallasTicsani-Suches,Upper,Pref,Pref,Upper,6.8,7.1,7.4
493,FallaPurgatorio,Upper,Lower,Pref,Upper,6.87,7.17,7.47
494,FallaIncapuquio,Upper,Lower,Pref,Upper,7.04,7.34,7.64
495,FallaMicalaco,Upper,Lower,Pref,Upper,6.66,6.96,7.26
496,FallaCerroRocoso,Upper,Lower,Pref,Upper,6.22,6.52,6.82
497,FallaChascoso,Upper,Lower,Pref,Upper,5.85,6.15,6.45
498,FallaChololo,Upper,Lower,Pref,Upper,6.89,7.19,7.49
499,FallaChulibaya,Upper,Lower,Pref,Upper,6.07,6.37,6.67
500,FallaCupine-pampaTrapiche,Upper,Lower,Pref,Upper,7.1,7.4,7.7
501,FallaMesacalane,Upper,Lower,Pref,Upper,6.07,6.37,6.67
502,FallaTambo,Upper,Lower,Pref,Upper,6.77,7.07,7.37
503,FallaToquepala,Upper,Lower,Pref,Upper,6.91,7.21,7.51
504,ZonadefallasCarumas-Calacoa,Upper,Lower,Pref,Upper,6.93,7.23,7.53
505,ZonadefallasCoralaque,Upper,Lower,Pref,Upper,6.57,6.87,7.17
506,ZonadefallasHuaynaputina,Upper,Lower,Pref,Upper,6.64,6.94,7.24
507,ZonadefallasIchuna,Upper,Lower,Pref,Upper,7.08,7.38,7.68
508,ZonadefallasPastoGrande,Upper,Lower,Pref,Upper,6.84,7.14,7.44
509,ZonadefallasTicsani-Suches,Upper,Lower,Pref,Upper,6.71,7.01,7.31
510,FallaPurgatorio,Upper,Upper,Pref,Pref,7.05,7.35,7.65
511,FallaIncapuquio,Upper,Upper,Pref,Pref,7.22,7.52,7.82
512,FallaMicalaco,Upper,Upper,Pref,Pref,6.83,7.13,7.43
513,FallaCerroRocoso,Upper,Upper,Pref,Pref,6.4,6.7,7.0
514,FallaChascoso,Upper,Upper,Pref,Pref,6.02,6.32,6.62
515,FallaChololo,Upper,Upper,Pref,Pref,7.07,7.37,7.67
516,FallaChulibaya,Upper,Upper,Pref,Pref,6.25,6.55,6.85
517,FallaCupine-pampaTrapiche,Upper,Upper,Pref,Pref,7.28,7.58,7.88
518,FallaMesacalane,Upper,Upper,Pref,Pref,6.25,6.55,6.85
519,FallaTambo,Upper,Upper,Pref,Pref,6.94,7.24,7.54
520,FallaToquepala,Upper,Upper,Pref,Pref,7.08,7.38,7.68
521,ZonadefallasCarumas-Calacoa,Upper,Upper,Pref,Pref,7.1,7.4,7.7
522,ZonadefallasCoralaque,Upper,Upper,Pref,Pref,6.74,7.04,7.34
523,ZonadefallasHuaynaputina,Upper,Upper,Pref,Pref,6.82,7.12,7.42
524,ZonadefallasIchuna,Upper,Upper,Pref,Pref,7.26,7.56,7.86
525,ZonadefallasPastoGrande,Upper,Upper,Pref,Pref,7.02,7.32,7.62
526,ZonadefallasTicsani-Suches,Upper,Upper,Pref,Pref,6.88,7.18,7.48
527,FallaPurgatorio,Upper,Pref,Pref,Pref,6.97,7.27,7.57
528,FallaIncapuquio,Upper,Pref,Pref,Pref,7.14,7.44,7.74
529,FallaMicalaco,Upper,Pref,Pref,Pref,6.75,7.05,7.35
530,FallaCerroRocoso,Upper,Pref,Pref,Pref,6.32,6.62,6.92
531,FallaChascoso,Upper,Pref,Pref,Pref,5.94,6.24,6.54
532,FallaChololo,Upper,Pref,Pref,Pref,6.99,7.29,7.59
533,FallaChulibaya,Upper,Pref,Pref,Pref,6.17,6.47,6.77
534,FallaCupine-pampaTrapiche,Upper,Pref,Pref,Pref,7.2,7.5,7.8
535,FallaMesacalane,Upper,Pref,Pref,Pref,6.17,6.47,6.77
536,FallaTambo,Upper,Pref,Pref,Pref,6.87,7.17,7.47
537,FallaToquepala,Upper,Pref,Pref,Pref,7.0,7.3,7.6
538,ZonadefallasCarumas-Calacoa,Upper,Pref,Pref,Pref,7.02,7.32,7.62
539,ZonadefallasCoralaque,Upper,Pref,Pref,Pref,6.67,6.97,7.27
540,ZonadefallasHuaynaputina,Upper,Pref,Pref,Pref,6.74,7.04,7.34
541,ZonadefallasIchuna,Upper,Pref,Pref,Pref,7.18,7.48,7.78
542,ZonadefallasPastoGrande,Upper,Pref,Pref,Pref,6.94,7.24,7.54
543,ZonadefallasTicsani-Suches,Upper,Pref,Pref,Pref,6.8,7.1,7.4
544,FallaPurgatorio,Upper,Lower,Pref,Pref,6.87,7.17,7.47
545,FallaIncapuquio,Upper,Lower,Pref,Pref,7.04,7.34,7.64
546,FallaMicalaco,Upper,Lower,Pref,Pref,6.66,6.96,7.26
547,FallaCerroRocoso,Upper,Lower,Pref,Pref,6.22,6.52,6.82
548,FallaChascoso,Upper,Lower,Pref,Pref,5.85,6.15,6.45
549,FallaChololo,Upper,Lower,Pref,Pref,6.89,7.19,7.49
550,FallaChulibaya,Upper,Lower,Pref,Pref,6.07,6.37,6.67
551,FallaCupine-pampaTrapiche,Upper,Lower,Pref,Pref,7.1,7.4,7.7
552,FallaMesacalane,Upper,Lower,Pref,Pref,6.07,6.37,6.67
553,FallaTambo,Upper,Lower,Pref,Pref,6.77,7.07,7.37
554,FallaToquepala,Upper,Lower,Pref,Pref,6.91,7.21,7.51
555,ZonadefallasCarumas-Calacoa,Upper,Lower,Pref,Pref,6.93,7.23,7.53
556,ZonadefallasCoralaque,Upper,Lower,Pref,Pref,6.57,6.87,7.17
557,ZonadefallasHuaynaputina,Upper,Lower,Pref,Pref,6.64,6.94,7.24
558,ZonadefallasIchuna,Upper,Lower,Pref,Pref,7.08,7.38,7.68
559,ZonadefallasPastoGrande,Upper,Lower,Pref,Pref,6.84,7.14,7.44
560,ZonadefallasTicsani-Suches,Upper,Lower,Pref,Pref,6.71,7.01,7.31
561,FallaPurgatorio,Upper,Upper,Pref,Lower,7.05,7.35,7.65
562,FallaIncapuquio,Upper,Upper,Pref,Lower,7.22,7.52,7.82
563,FallaMicalaco,Upper,Upper,Pref,Lower,6.83,7.13,7.43
564,FallaCerroRocoso,Upper,Upper,Pref,Lower,6.4,6.7,7.0
565,FallaChascoso,Upper,Upper,Pref,Lower,6.02,6.32,6.62
566,FallaChololo,Upper,Upper,Pref,Lower,7.07,7.37,7.67
567,FallaChulibaya,Upper,Upper,Pref,Lower,6.25,6.55,6.85
568,FallaCupine-pampaTrapiche,Upper,Upper,Pref,Lower,7.28,7.58,7.88
569,FallaMesacalane,Upper,Upper,Pref,Lower,6.25,6.55,6.85
570,FallaTambo,Upper,Upper,Pref,Lower,6.94,7.24,7.54
571,FallaToquepala,Upper,Upper,Pref,Lower,7.08,7.38,7.68
572,ZonadefallasCarumas-Calacoa,Upper,Upper,Pref,Lower,7.1,7.4,7.7
573,ZonadefallasCoralaque,Upper,Upper,Pref,Lower,6.74,7.04,7.34
574,ZonadefallasHuaynaputina,Upper,Upper,Pref,Lower,6.82,7.12,7.42
575,ZonadefallasIchuna,Upper,Upper,Pref,Lower,7.26,7.56,7.86
576,ZonadefallasPastoGrande,Upper,Upper,Pref,Lower,7.02,7.32,7.62
577,ZonadefallasTicsani-Suches,Upper,Upper,Pref,Lower,6.88,7.18,7.48
578,FallaPurgatorio,Upper,Pref,Pref,Lower,6.97,7.27,7.57
579,FallaIncapuquio,Upper,Pref,Pref,Lower,7.14,7.44,7.74
580,FallaMicalaco,Upper,Pref,Pref,Lower,6.75,7.05,7.35
581,FallaCerroRocoso,Upper,Pref,Pref,Lower,6.32,6.62,6.92
582,FallaChascoso,Upper,Pref,Pref,Lower,5.94,6.24,6.54
583,FallaChololo,Upper,Pref,Pref,Lower,6.99,7.29,7.59
584,FallaChulibaya,Upper,Pref,Pref,Lower,6.17,6.47,6.77
585,FallaCupine-pampaTrapiche,Upper,Pref,Pref,Lower,7.2,7.5,7.8
586,FallaMesacalane,Upper,Pref,Pref,Lower,6.17,6.47,6.77
587,FallaTambo,Upper,Pref,Pref,Lower,6.87,7.17,7.47
588,FallaToquepala,Upper,Pref,Pref,Lower,7.0,7.3,7.6
589,ZonadefallasCarumas-Calacoa,Upper,Pref,Pref,Lower,7.02,7.32,7.62
590,ZonadefallasCoralaque,Upper,Pref,Pref,Lower,6.67,6.97,7.27
591,ZonadefallasHuaynaputina,Upper,Pref,Pref,Lower,6.74,7.04,7.34
592,ZonadefallasIchuna,Upper,Pref,Pref,Lower,7.18,7.48,7.78
593,ZonadefallasPastoGrande,Upper,Pref,Pref,Lower,6.94,7.24,7.54
594,ZonadefallasTicsani-Suches,Upper,Pref,Pref,Lower,6.8,7.1,7.4
595,FallaPurgatorio,Upper,Lower,Pref,Lower,6.87,7.17,7.47
596,FallaIncapuquio,Upper,Lower,Pref,Lower,7.04,7.34,7.64
597,FallaMicalaco,Upper,Lower,Pref,Lower,6.66,6.96,7.26
598,FallaCerroRocoso,Upper,Lower,Pref,Lower,6.22,6.52,6.82
599,FallaChascoso,Upper,Lower,Pref,Lower,5.85,6.15,6.45
600,FallaChololo,Upper,Lower,Pref,Lower,6.89,7.19,7.49
601,FallaChulibaya,Upper,Lower,Pref,Lower,6.07,6.37,6.67
602,FallaCupine-pampaTrapiche,Upper,Lower,Pref,Lower,7.1,7.4,7.7
603,FallaMesacalane,Upper,Lower,Pref,Lower,6.07,6.37,6.67
604,FallaTambo,Upper,Lower,Pref,Lower,6.77,7.07,7.37
605,FallaToquepala,Upper,Lower,Pref,Lower,6.91,7.21,7.51
606,ZonadefallasCarumas-Calacoa,Upper,Lower,Pref,Lower,6.93,7.23,7.53
607,ZonadefallasCoralaque,Upper,Lower,Pref,Lower,6.57,6.87,7.17
608,ZonadefallasHuaynaputina,Upper,Lower,Pref,Lower,6.64,6.94,7.24
609,ZonadefallasIchuna,Upper,Lower,Pref,Lower,7.08,7.38,7.68
610,ZonadefallasPastoGrande,Upper,Lower,Pref,Lower,6.84,7.14,7.44
611,ZonadefallasTicsani-Suches,Upper,Lower,Pref,Lower,6.71,7.01,7.31
612,FallaPurgatorio,Pref,Upper,Pref,Upper,7.05,7.35,7.65
613,FallaIncapuquio,Pref,Upper,Pref,Upper,7.22,7.52,7.82
614,FallaMicalaco,Pref,Upper,Pref,Upper,6.83,7.13,7.43
615,FallaCerroRocoso,Pref,Upper,Pref,Upper,6.4,6.7,7.0
616,FallaChascoso,Pref,Upper,Pref,Upper,6.02,6.32,6.62
617,FallaChololo,Pref,Upper,Pref,Upper,7.07,7.37,7.67
618,FallaChulibaya,Pref,Upper,Pref,Upper,6.25,6.55,6.85
619,FallaCupine-pampaTrapiche,Pref,Upper,Pref,Upper,7.28,7.58,7.88
620,FallaMesacalane,Pref,Upper,Pref,Upper,6.25,6.55,6.85
621,FallaTambo,Pref,Upper,Pref,Upper,6.94,7.24,7.54
622,FallaToquepala,Pref,Upper,Pref,Upper,7.08,7.38,7.68
623,ZonadefallasCarumas-Calacoa,Pref,Upper,Pref,Upper,7.1,7.4,7.7
624,ZonadefallasCoralaque,Pref,Upper,Pref,Upper,6.74,7.04,7.34
625,ZonadefallasHuaynaputina,Pref,Upper,Pref,Upper,6.82,7.12,7.42
626,ZonadefallasIchuna,Pref,Upper,Pref,Upper,7.26,7.56,7.86
627,ZonadefallasPastoGrande,Pref,Upper,Pref,Upper,7.02,7.32,7.62
628,ZonadefallasTicsani-Suches,Pref,Upper,Pref,Upper,6.88,7.18,7.48
629,FallaPurgatorio,Pref,Pref,Pref,Upper,6.97,7.27,7.57
630,FallaIncapuquio,Pref,Pref,Pref,Upper,7.14,7.44,7.74
631,FallaMicalaco,Pref,Pref,Pref,Upper,6.75,7.05,7.35
632,FallaCerroRocoso,Pref,Pref,Pref,Upper,6.32,6.62,6.92
633,FallaChascoso,Pref,Pref,Pref,Upper,5.94,6.24,6.54
634,FallaChololo,Pref,Pref,Pref,Upper,6.99,7.29,7.59
635,FallaChulibaya,Pref,Pref,Pref,Upper,6.17,6.47,6.77
636,FallaCupine-pampaTrapiche,Pref,Pref,Pref,Upper,7.2,7.5,7.8
637,FallaMesacalane,Pref,Pref,Pref,Upper,6.17,6.47,6.77
638,FallaTambo,Pref,Pref,Pref,Upper,6.87,7.17,7.47
639,FallaToquepala,Pref,Pref,Pref,Upper,7.0,7.3,7.6
640,ZonadefallasCarumas-Calacoa,Pref,Pref,Pref,Upper,7.02,7.32,7.62
641,ZonadefallasCoralaque,Pref,Pref,Pref,Upper,6.67,6.97,7.27
642,ZonadefallasHuaynaputina,Pref,Pref,Pref,Upper,6.74,7.04,7.34
643,ZonadefallasIchuna,Pref,Pref,Pref,Upper,7.18,7.48,7.78
644,ZonadefallasPastoGrande,Pref,Pref,Pref,Upper,6.94,7.24,7.54
645,ZonadefallasTicsani-Suches,Pref,Pref,Pref,Upper,6.8,7.1,7.4
646,FallaPurgatorio,Pref,Lower,Pref,Upper,6.87,7.17,7.47
647,FallaIncapuquio,Pref,Lower,Pref,Upper,7.04,7.34,7.64
648,FallaMicalaco,Pref,Lower,Pref,Upper,6.66,6.96,7.26
649,FallaCerroRocoso,Pref,Lower,Pref,Upper,6.22,6.52,6.82
650,FallaChascoso,Pref,Lower,Pref,Upper,5.85,6.15,6.45
651,FallaChololo,Pref,Lower,Pref,Upper,6.89,7.19,7.49
652,FallaChulibaya,Pref,Lower,Pref,Upper,6.07,6.37,6.67
653,FallaCupine-pampaTrapiche,Pref,Lower,Pref,Upper,7.1,7.4,7.7
654,FallaMesacalane,Pref,Lower,Pref,Upper,6.07,6.37,6.67
655,FallaTambo,Pref,Lower,Pref,Upper,6.77,7.07,7.37
656,FallaToquepala,Pref,Lower,Pref,Upper,6.91,7.21,7.51
657,ZonadefallasCarumas-Calacoa,Pref,Lower,Pref,Upper,6.93,7.23,7.53
658,ZonadefallasCoralaque,Pref,Lower,Pref,Upper,6.57,6.87,7.17
659,ZonadefallasHuaynaputina,Pref,Lower,Pref,Upper,6.64,6.94,7.24
660,ZonadefallasIchuna,Pref,Lower,Pref,Upper,7.08,7.38,7.68
661,ZonadefallasPastoGrande,Pref,Lower,Pref,Upper,6.84,7.14,7.44
662,ZonadefallasTicsani-Suches,Pref,Lower,Pref,Upper,6.71,7.01,7.31
663,FallaPurgatorio,Pref,Upper,Pref,Pref,7.05,7.35,7.65
664,FallaIncapuquio,Pref,Upper,Pref,Pref,7.22,7.52,7.82
665,FallaMicalaco,Pref,Upper,Pref,Pref,6.83,7.13,7.43
